1,2,3,4,5,6,7,8,9,10,11,12,13,14
12.54896196,3.009472826,2.361054348,19.51317935,100.1054348,1.275658967,0.864620923,0.317891305,0.781317935,5.448682065,0.701054348,1.619596468,520.2635869,0
13.27,4.28,2.26,20,120,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835,0
13.89402829,2.741142077,2.448336702,20.47494947,91.31663298,1.759158246,0.718997979,0.44316633,1.24316633,9.294709783,0.597835691,1.681503032,656.8336702,0
12.53,5.51,2.64,25,96,1.79,0.6,0.63,1.1,5,0.82,1.69,515,0
13.4,4.6,2.86,25,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630,0
12.6,2.46,2.2,18.5,94,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695,0
12.96,3.45,2.35,18.5,106,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675,0
12.81040822,1.471223296,2.291875085,17.95516397,86.09239352,1.941739012,0.60184787,0.570869506,1.248179344,6.223778746,0.726331474,1.546413117,651.8206559,0
12.96306584,4.159633662,2.241945049,19.54862623,117.5926732,1.526807673,0.717082426,0.387871782,1.286807673,9.601177469,0.608054951,1.692402972,841.0183169,0
12.36,3.83,2.38,21,88,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520,0
12.51,1.24,2.25,17.5,85,2,0.58,0.6,1.25,5.45,0.75,1.51,650,0
13.20958076,3.199416059,2.445381808,20.25112296,92.00598914,1.579940109,0.490014973,0.554962568,0.814902677,5.149176494,0.789970054,2.065366835,590.0149728,0
13.05271817,3.491899994,2.410818177,20.79287873,96.4960602,1.561266663,0.75604242,0.411081818,1.151003022,10.41514545,0.76802121,1.679815155,688.6939392,0
12.77,2.39,2.28,19.5,86,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470,0
12.9806426,4.444844759,2.676415564,24.31720818,96.45519455,1.680753309,0.563584436,0.570824709,0.849642999,4.704123544,0.851863618,1.858421983,517.2759727,0
13.17,2.59,2.37,20,120,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840,0
13.49,3.59,2.19,19.5,88,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580,0
12.47108895,3.76679422,2.412560553,21.23941583,88.86189699,2.228175251,0.881693467,0.5,0.993074497,7.333971102,0.59160289,1.62596784,520,0
13.11,1.9,2.75,25.5,116,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425,0
12.98290907,2.635475891,2.346601612,22.85574882,95.4572196,1.269510679,0.934890396,0.348826192,0.842713902,5.7,0.698141706,1.476967898,565.0855608,0
13.22426566,4.438849011,2.328568262,21.42878252,91.85756504,1.642893028,0.592870864,0.541453902,1.290096046,7.243099895,0.628560874,1.762752654,740.7084808,0
13.11222372,3.63629503,2.353374038,19.27811699,92.10636219,1.555928685,0.679119551,0.444498718,1.191674197,7.452381245,0.609938942,1.724315545,493.3129808,0
