1,2,3,4,5,6,7,8,9,10
1.51888,14.99,0.78,1.74,72.5,0,9.95,0,0,0
1.51916,14.15,0,2.09,72.74,0,10.88,0,0,0
1.51613,13.88,1.78,1.79,73.1,0,8.67,0.76,0,0
1.51602,14.85,0,2.38,73.28,0,8.76,0.64,0.09,0
1.51623,14.2,0,2.79,73.46,0.04,9.04,0.4,0.09,0
1.51719,14.75,0,2,73.02,0,8.53,1.59,0.08,0
1.51683,14.56,0,1.98,73.29,0,8.52,1.57,0.07,0
1.51545,14.14,0,2.68,73.39,0.08,9.07,0.61,0.05,0
1.51556,13.87,0,2.54,73.23,0.14,9.41,0.81,0.01,0
1.51727,14.7,0,2.34,73.28,0,8.95,0.66,0,0
1.51531,14.38,0,2.66,73.1,0.04,9.08,0.64,0,0
1.51609,15.01,0,2.51,73.05,0.05,8.83,0.53,0,0
1.51508,15.15,0,2.25,73.5,0,8.34,0.63,0,0
1.51514,14.85,0,2.42,73.72,0,8.39,0.56,0,0
1.51658,14.8,0,1.99,73.11,0,8.28,1.71,0,0
1.51617,14.95,0,2.27,73.3,0,8.71,0.67,0,0
1.51732,14.95,0,1.8,72.99,0,8.61,1.55,0,0
1.51645,14.94,0,1.87,73.11,0,8.67,1.38,0,0
1.51831,14.39,0,1.82,72.86,1.41,6.47,2.88,0,0
1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0,0
1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0,0
1.51685,14.92,0,1.99,73.06,0,8.4,1.59,0,0
1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,0
1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0,0
1.516270191,14.81997704,0,2.371993879,73.28,0,8.798029077,0.644003061,0.071986227,0
1.515116114,15.13847427,0,2.254994482,73.4915478,0,8.35613602,0.630384191,0.003457719,0
1.516932944,14.61013115,0,1.977318564,73.24303412,0,8.511098804,1.582439521,0.049758086,0
1.515259727,15.12508729,0,2.296266466,73.41992342,0.008897397,8.427194494,0.612205205,0,0
1.517110615,14.75650693,0,1.998698613,73.03171248,0,8.497465326,1.605616644,0.069588904,0
1.516904719,14.7959636,0,2.392625198,73.2088012,0.015477999,8.912852801,0.619757201,0,0
1.515704984,14.30272062,0,2.715812888,73.25455877,0.04,9.062826804,0.536960822,0.038639692,0
1.516068699,14.37303946,0,2.715684332,72.92598646,0.012157834,9.337540034,0.570394585,0,0
1.51706316,14.74700903,0,2.326837472,73.28376072,0,8.904871333,0.661880361,0,0
1.51576282,14.85,0,2.391690009,73.4085901,0,8.651867417,0.616619982,0.06369748,0
1.517652834,14.7689577,0.185472422,2.197328906,73.09452758,0,9.187785157,0.503061796,0,0
1.516510251,14.3801413,0,1.940031401,73.60974879,0,8.480031401,1.57,5.50E-05,0
1.517153543,14.64401083,0,2.39039025,73.3001561,0.004479133,8.96007805,0.630885633,0.01007805,0
1.516936526,14.55442271,0,1.981115458,73.29362524,0,8.517769084,1.571952052,0.068047948,0
1.516082481,14.89165377,0,2.334180854,73.28833075,0,8.739173115,0.652496131,0.052511608,0
