1,2,3,4,5,6,7,8,9,10,11
132,547,72204,4.144,0.37,0.483,20.66,26693,34874,1292,0
128,347,44416,2.711,0.399,0.567,13.07,17721,25163,1356,0
166,472,78352,2.843,0.359,0.547,17.12,28093,42821,1641,0
174,471,81954,2.707,0.339,0.433,15.84,27820,35499,1756,0
186,469,87234,2.522,0.378,0.529,22.29,33017,46133,1481,0
212,464,98368,2.189,0.052,0.07,11.84,5066,6884,428,0
52,461,23972,8.865,0.192,0.248,11.52,4607,5938,400,0
153,442,67626,2.889,0.114,0.215,6.27,7689,14538,1227,0
83,314,26062,3.783,0.298,0.671,8.75,7772,17482,888,0
83,315,26145,3.795,0.295,0.594,9.21,7725,15523,839,0
83,326,27058,3.928,0.286,0.671,7.55,7741,18149,1025,0
83,314,26062,3.783,0.282,0.619,8.77,7353,16139,838,0
160,286,45760,1.788,0.201,0.226,55.42,9199,10347,166,0
83,314.2131586,26079.69216,3.785557903,0.297360524,0.654586791,8.848052939,7761.981548,17064.42237,877.5552304,0
227.923851,467.851162,106372.8452,2.227589412,0.240205207,0.325545903,11.1521674,21841.53742,30615.54584,2329.088519,0
120.6206638,306.456798,36195.42408,2.882438694,0.244470696,0.453581878,30.93832697,8453.349712,14337.09845,605.3097375,0
51.24066146,449.7997566,23084.33325,8.771981029,0.165992655,0.218765466,10.11712205,3933.276883,5155.121969,372.6638127,0
110.7313548,276.6701862,26873.74648,3.081660384,0.320397546,0.727795948,6.787387744,8595.872341,19522.76865,1373.775116,0
246.082075,464.3625753,114293.0309,1.946437147,0.053087726,0.089216489,8.522436312,6079.39787,10715.69542,1333.35044,0
83,314,26062,3.783,0.289492086,0.643349279,8.760634893,7549.198995,16767.86695,861.4127679,0
155.385414,443.9517024,69043.36963,2.862471305,0.133083312,0.237697576,7.42801007,9519.841389,16821.85319,1245.360459,0
52.40417321,439.9829929,23023.40547,8.409496788,0.218675432,0.328026296,10.44894098,4936.603256,7248.329559,521.858224,0
52.9866134,409.6961034,21656.41836,7.753086703,0.257116484,0.443349452,8.905474502,5411.583224,9136.600628,697.4639387,0
64.85697971,402.9787582,24619.13465,6.975023982,0.180791351,0.22063771,45.26792342,4439.859264,5393.721192,280.0015227,0
223.2639327,463.8775659,103557.2448,2.107458922,0.053346775,0.076244137,10.86909797,5535.167285,8132.460023,653.8908249,0
83,316.711959,26287.0926,3.815769505,0.282903986,0.630751822,8.494284167,7440.686675,16593.25313,880.2613613,0
78.63694187,321.3189118,25111.85792,4.21866799,0.295601801,0.603177467,8.787234712,7430.267901,15087.14554,848.3279174,0
193.866995,205.4514713,39577.90043,1.07130116,0.266903342,0.323024364,47.64889763,10530.7967,12742.4034,221.8347755,0
95.04008227,319.7454118,29982.33271,3.593379532,0.272709,0.601417706,15.03517842,7968.97974,16929.04257,890.6827186,0
182.7901325,469.5349779,85821.65832,2.571485457,0.367567931,0.50332106,20.56469625,31626.85991,43288.52246,1554.559462,0
165.116002,214.8921964,32591.0934,1.466670307,0.71354239,0.833731946,23.27375512,21057.66567,25312.09309,997.4216758,0
176.6222771,450.8083067,79934.40749,2.608735696,0.08917659,0.156945251,8.500103106,6638.809614,11473.51002,907.0983156,0
181.0630323,469.822828,85061.73421,2.598111586,0.361954855,0.489504258,19.63637985,30878.88157,41758.02378,1594.138843,0
83,314.4766956,26101.56573,3.788720347,0.288197043,0.60708261,8.979746061,7530.33076,15845.35552,838.4766956,0
84.50226076,322.9015872,27042.69572,3.872791917,0.290450448,0.675243887,7.565961521,7853.369105,18250.36505,1036.43596,0
158.9651076,309.0633159,48992.70812,1.950773788,0.188137766,0.224373741,48.15357706,8975.758929,10966.60485,322.8601168,0
165.7040043,452.3941854,75174.4884,2.747716073,0.215632035,0.335880526,12.43721665,17439.51582,26701.12174,1324.782336,0
144.9147779,528.3453208,75798.61319,3.756078338,0.3719133,0.494001477,21.04983496,28205.46399,37566.73119,1337.201723,0
247.3762671,463.6154754,114665.6924,1.932906588,0.056229771,0.089610757,8.790719585,6539.49843,10804.99778,1137.447965,0
259.7231102,463.5179484,120361.6051,1.851563868,0.069353858,0.113384646,8.026971704,8712.720488,14697.09262,1770.031704,0
52.11488893,455.0257755,23702.35568,8.735520173,0.19958267,0.270748009,11.21554433,4700.691924,6310.469919,434.6390131,0
109.4237895,296.3311837,29827.39857,3.250484765,0.282986761,0.592423994,16.67779677,8416.197359,16947.18115,840.0334733,0
83,322.6683718,26781.47486,3.887742826,0.289331628,0.671,7.883162817,7749.606706,17963.817,986.9639118,0
52.73439984,422.8112083,22248.36357,8.037331379,0.240470389,0.393411168,9.573840422,5205.90307,8318.924284,621.421552,0
122.5741608,281.5658546,31205.64976,2.913304632,0.281487157,0.553318943,21.22044255,8752.22395,16349.06997,747.9808747,0
51.30022707,450.6783493,23153.96545,8.779277817,0.168032777,0.221058742,10.22716952,3986.126472,5216.534113,374.8081747,0
243.2837128,466.7363869,113290.4903,2.075985262,0.191905348,0.266719089,9.481886972,17735.48913,25683.09675,2031.535996,0
169.9075839,507.6708818,84601.6753,3.21763342,0.219317354,0.287302098,16.48068888,16445.15855,21611.0841,882.5980944,0
63.8158177,407.6773355,24566.72949,7.128074798,0.181699031,0.222853516,42.53500662,4453.39437,5437.797051,289.7190348,0
247.2718636,463.6166102,114617.5942,1.933662379,0.056217288,0.089552881,8.799718716,6535.149796,10793.42601,1135.354221,0
84.53006608,311.4547939,26066.48721,3.738436825,0.299721324,0.674133693,8.690268574,7818.711152,17567.61014,909.2590912,0
172.1626626,471.2296672,81126.73884,2.738234736,0.343593343,0.459182058,16.13397398,27882.69914,37180.62305,1729.588275,0
169.2022755,471.5997156,79793.82455,2.788561316,0.350994311,0.501367574,16.60763592,27983.72235,39890.11733,1687.032711,0
83,314.0521223,26066.32615,3.783625468,0.297843633,0.66698658,8.773976273,7769.55025,17379.89235,885.4460057,0
249.1343533,465.7897786,115868.1044,1.987498144,0.209463379,0.310704948,12.45602191,20112.44519,30589.1082,1904.749219,0
89.79286215,299.7645806,25953.73241,3.526973068,0.323335939,0.598560922,12.87232311,8351.398931,15519.89469,786.8890432,0
83,317.9301583,26388.20314,3.830489412,0.283310053,0.636030686,8.370433911,7480.075117,16797.30151,899.2449661,0
126.1178034,277.5870277,31577.04838,2.822444391,0.281083058,0.542781269,22.4445535,8842.773346,16187.8964,723.175376,0
60.30750845,437.95842,24161.19175,8.253065792,0.189492073,0.250194436,11.26293747,4576.121148,6043.097819,408.6993721,0
183.6634964,453.4338461,83603.24077,2.525195806,0.081777343,0.13964056,9.164841945,6325.773712,10560.061,811.7434983,0
189.341179,216.2155743,40404.04533,1.167077212,0.258096348,0.310058513,48.68738893,10352.82204,12422.29366,214.3732951,0
131.3513415,335.0714965,43348.28533,2.598644858,0.427401199,0.591084217,13.99133489,18022.27992,25176.46217,1323.622633,0
88.60697375,304.6730148,26078.44353,3.619696889,0.304307845,0.682483514,8.531112371,7943.174439,17795.72096,965.9045872,0
176.0275909,470.6264964,82829.81257,2.679360734,0.323686353,0.413631171,15.62656938,26605.89989,33972.17067,1685.141033,0
167.8495531,509.8060886,83928.59635,3.267926546,0.227498026,0.297926682,16.70758677,17001.52144,22331.1376,904.8248264,0
132.5644232,544.1778842,72080.95575,4.110268997,0.363119413,0.475796886,20.27323576,26182.22393,34327.42337,1290.252976,0
